path length;found solution;tgenerationID;error
5;False;51;105
6;False;51;1000
7;False;51;1000
8;False;51;1000
9;False;51;1000
10;False;51;1000
11;False;51;1000
12;False;51;1000
13;False;51;1000
14;False;51;1000
15;False;51;1000
16;False;51;1000
17;False;51;1000
18;False;51;1000
19;False;51;1000
20;False;51;1000
21;False;51;1000
22;False;51;1000
23;False;51;1000
24;False;51;1000
25;False;51;1000
26;False;51;1000
27;False;51;1000
28;False;51;1000
29;False;51;1000
30;False;51;1000
31;False;51;1000
32;False;51;1000
33;False;51;1000
34;False;51;1000
35;False;51;1000
36;False;51;1000
37;False;51;1000
38;False;51;1000
39;False;51;1000
40;true;3;5
41;False;51;1000
42;true;51;7
43;False;51;1000
44;False;51;1000
45;False;51;1000
46;False;51;1000
47;False;51;1000
48;False;51;1000
49;False;51;1000
50;False;51;1000
51;False;51;1000
52;False;51;1000
53;False;51;1000
54;False;51;1000
55;False;51;1000
56;False;51;1000
57;False;51;1000
58;False;51;1000
59;False;51;1000
60;False;51;1000
61;False;51;1000
62;False;51;1000
63;False;51;1000
64;False;51;1000
65;False;51;1000
66;False;51;1000
67;False;51;1000
68;False;51;1000
69;False;51;1000
70;False;51;1000
71;False;51;1000
72;False;51;1000
73;False;51;1000
74;False;51;1000
75;False;51;1000
76;False;51;1000
77;False;51;1000
78;False;51;1000
79;False;51;1000
80;False;51;1000
81;False;51;1000
82;False;51;1000
83;False;51;1000
84;False;51;1000
85;False;51;1000
86;False;51;1000
87;False;51;1000
88;False;51;1000
89;False;51;1000
90;False;51;1000
91;False;51;1000
92;False;51;1000
93;False;51;1000
94;False;51;1000
95;False;51;1000
96;False;51;1000
97;False;51;1000
98;False;51;1000
99;False;51;1000
5;True;2;5
6;True;4;5
7;True;7;5
8;True;10;5
9;False;51;7
10;False;51;1000
11;False;51;1000
12;False;51;1000
13;False;51;1000
14;False;51;1000
15;False;51;1000
16;False;51;1000
17;False;51;1000
18;False;51;1000
19;False;51;1000
20;False;51;1000
21;False;51;1000
22;False;51;1000
23;False;51;1000
24;False;51;1000
25;False;51;1000
26;False;51;1000
27;False;51;1000
28;False;51;1000
29;False;51;1000
30;False;51;1000
31;False;51;1000
32;False;51;1000
33;False;51;1000
34;False;51;1000
35;False;51;1000
36;False;51;1000
37;False;51;1000
38;False;51;1000
39;False;51;1000
40;False;51;1000
41;False;51;1000
42;False;51;1000
43;False;51;1000
44;False;51;1000
45;False;51;1000
46;False;51;1000
47;False;51;1000
48;False;51;1000
49;False;51;1000
50;False;51;1000
51;False;51;1000
52;False;51;1000
53;False;51;1000
54;False;51;1000
55;False;51;1000
56;False;51;1000
57;False;51;1000
58;False;51;1000
59;False;51;1000
60;False;51;1000
61;False;51;1000
62;False;51;1000
63;False;51;1000
64;False;51;1000
65;False;51;1000
66;False;51;1000
67;False;51;1000
68;False;51;1000
69;False;51;1000
70;False;51;1000
71;False;51;1000
72;False;51;1000
73;False;51;1000
74;False;51;1000
75;False;51;1000
76;False;51;1000
77;False;51;1000
78;False;51;1000
79;False;51;1000
80;False;51;1000
81;False;51;1000
82;False;51;1000
83;False;51;1000
84;False;51;1000
85;False;51;1000
86;False;51;1000
87;False;51;1000
88;False;51;1000
89;False;51;1000
90;False;51;1000
91;False;51;1000
92;False;51;1000
93;False;51;1000
94;False;51;1000
95;False;51;1000
96;False;51;1000
97;False;51;1000
98;False;51;1000
99;False;51;1000
5;False;51;505
